domain	bias_rating	category	mbfc_ideo
insuranceratereporter.com	right-center	fake-news	1.0
interioralaskanews.com	right-center	fake-news	1.0
profam.org	extreme right	fake-news	1.0
iowacitytoday.com	right-center	fake-news	1.0
theiowastar.com	right	fake-news	1.0
ipatriot.com	right	fake-news	1.0
israelunwired.com	far right	fake-news	1.0
ivmmeta.com	right	fake-news	1.0
jacksonpurchasenews.com	right-center	fake-news	1.0
jeffcitynews.com	right-center	fake-news	1.0
jeffcotimes.com	right-center	fake-news	1.0
jeffersonreporter.com	right-center	fake-news	1.0
jocotoday.com	right-center	fake-news	1.0
jbs.org	extreme right	fake-news	1.0
jonesborotimes.com	right-center	fake-news	1.0
jordanbpeterson.com	right	fake-news	1.0
judicialwatch.org	far right	fake-news	1.0
justthenews.com	far right	fake-news	1.0
kalamazootimes.com	right-center	fake-news	1.0
kanecountyreporter.com	right-center	fake-news	1.0
kankakeetimes.com	right-center	fake-news	1.0
katehon.com	far-right	fake-news	1.0
kauaisun.com	right-center	fake-news	1.0
kcreporter.com	right-center	fake-news	1.0
kendallcountytimes.com	right-center	fake-news	1.0
kentcountytoday.com	right-center	fake-news	1.0
kentuckianatimes.com	right-center	fake-news	1.0
kerncountytimes.com	right-center	fake-news	1.0
keywestreporter.com	right-center	fake-news	1.0
kingscountytimes.com	right-center	fake-news	1.0
knightstemplarorder.com	far right	fake-news	1.0
kokomostandard.com	right-center	fake-news	1.0
kcna.kp	extreme left	fake-news	-1.0
en.kremlin.ru	right-center	fake-news	1.0
lacrosseleader.org	left-center	fake-news	-1.0
lafayettereporter.com	right-center	fake-news	1.0
